strategy,family,score,dev_sharpe,holdout_sharpe,dev_cagr,holdout_cagr,max_drawdown,calmar,psr,annual_turnover,top_name_share,stability,degradation,fails_pre_ai_rally,stressed_sharpe,cost_fragile,verdict,tier,tier_reason
"XSMomentumTopN(basket=ai_broad,lookback_days=126,rebalance=ME,skip_days=21,top_n=20,weighting=equal)",xsmom,3.114,0.74,1.25,0.2299,0.64,-0.789,0.29,1.0,9.38,0.07,0.62,0.0,False,0.7068958322478048,False,rejected,B,cross-sectional selection over a universe missing delisted names (current-constituent bias)
BuyAndHold(ticker=AMD),benchmark,3.064,0.44,1.23,0.1052,0.8553,-0.966,0.11,0.993,0.04,1.0,0.75,0.0,False,0.43890030088858906,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"EqualRiskContribution(basket=ai_broad,cov_window=252,max_weight=0.25,rebalance=ME)",allocation,3.063,0.75,0.84,0.1749,0.2076,-0.541,0.32,1.0,4.13,0.12,0.75,0.0,False,0.7280513505686212,False,rejected,B,"unrecognized family 'allocation' — tier metadata missing, cannot verify Tier A data dependencies"
"MultiHorizonMomentum(basket=None,horizons=63,126,252,min_agree=3,rebalance=ME,top_n=12,weighting=equal)",factor,3.058,0.8,1.2,0.2585,0.6497,-0.778,0.33,1.0,13.38,0.07,0.62,0.0,False,0.7514620097508161,False,rejected,B,"unrecognized family 'factor' — tier metadata missing, cannot verify Tier A data dependencies"
"RegimeSwitchedTech(cut=0.34,fallback=IEF,flags=('qqq_below_200', 'vix_high', 'rates_rising', 'breadth_weak'),rebalance=W-FRI)",regime,3.057,0.71,1.03,0.1364,0.3038,-0.492,0.28,1.0,6.81,0.06,0.62,0.0,False,0.6659806725456927,False,rejected,B,"macro inputs are revised series, not real-time vintages"
BuyAndHold(ticker=PANW),benchmark,3.055,0.52,1.03,0.1317,0.4461,-0.48,0.27,0.999,0.04,1.0,0.88,0.0,False,0.5227314333007678,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"BreadthGatedBasket(basket=ai_broad,breadth_window=200,fallback=IEF,min_exposure=0.0,rebalance=W-FRI,smooth_days=21,threshold=0.4)",factor,3.052,0.85,0.9,0.2067,0.267,-0.368,0.56,1.0,3.84,0.05,0.62,0.0,False,0.8315790759439455,False,rejected,B,"unrecognized family 'factor' — tier metadata missing, cannot verify Tier A data dependencies"
"DrawdownDeRisk(basket=megacap_ai,dd_full=-0.4,dd_start=-0.1,fallback=IEF,rebalance=W-FRI)",riskmanaged,3.021,1.02,0.87,0.2727,0.2511,-0.523,0.52,1.0,4.91,0.2,0.62,0.15,False,0.9940178440834417,False,rejected,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=W-FRI,target_vol=0.15,vol_window=21)",riskmanaged,3.011,1.21,0.79,0.2223,0.1705,-0.294,0.76,1.0,7.36,0.19,0.75,0.42,False,1.1587152185280098,False,rejected,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=ATVI),benchmark,2.994,0.56,0.94,0.18,0.0434,-0.681,0.26,0.999,0.07,1.0,0.88,0.0,False,0.5561646971201482,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"CapWeightUniverse(basket=megacap_ai,max_weight=0.25,rebalance=QE)",benchmark,2.986,0.42,0.84,0.0713,0.2439,-0.448,0.16,0.998,0.7,0.25,0.88,0.0,False,0.4148260536950243,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=VRT),benchmark,2.982,0.37,1.17,0.0831,0.8218,-0.713,0.12,0.989,0.04,1.0,0.88,0.0,False,0.36916144812982943,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"XSMomentumTopN(basket=None,lookback_days=126,rebalance=ME,skip_days=21,top_n=8,weighting=equal)",xsmom,2.981,0.76,1.22,0.2622,0.7409,-0.853,0.31,1.0,12.63,0.06,0.62,0.0,False,0.7147328687878832,False,rejected,B,cross-sectional selection over a universe missing delisted names (current-constituent bias)
"LowVolatilityTech(basket=None,rebalance=ME,top_n=20,trend_filter=True,vol_window=126)",factor,2.944,0.68,1.1,0.1832,0.3373,-0.73,0.25,1.0,7.8,0.06,0.62,0.0,False,0.6471635611076785,False,rejected,B,"unrecognized family 'factor' — tier metadata missing, cannot verify Tier A data dependencies"
BuyAndHold(ticker=ANET),benchmark,2.926,0.55,0.97,0.1404,0.5225,-0.522,0.27,0.999,0.04,1.0,0.88,0.0,False,0.5451364857126239,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=ME,target_vol=0.15,vol_window=21)",riskmanaged,2.905,1.18,0.72,0.2193,0.1635,-0.302,0.73,1.0,5.53,0.2,0.75,0.45,False,1.1375499803367346,False,rejected,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"MinCorrelationSleeve(basket=None,corr_window=252,rebalance=QE,top_n=15)",allocation,2.895,1.03,0.7,0.3184,0.2393,-0.628,0.51,1.0,4.84,0.06,0.88,0.33,False,1.0095415466725004,False,rejected,B,"unrecognized family 'allocation' — tier metadata missing, cannot verify Tier A data dependencies"
BuyAndHold(ticker=KLAC),benchmark,2.893,0.53,1.03,0.1731,0.5648,-0.838,0.21,0.998,0.04,1.0,0.75,0.0,False,0.5282709144499786,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"XSMomentumTopN(basket=ai_broad,lookback_days=126,rebalance=ME,skip_days=21,top_n=10,weighting=equal)",xsmom,2.892,0.81,1.13,0.2725,0.622,-0.812,0.34,1.0,11.09,0.09,0.62,0.0,False,0.7710762435467091,False,rejected,B,cross-sectional selection over a universe missing delisted names (current-constituent bias)
"EqualRiskContribution(basket=target_holdings,cov_window=126,max_weight=0.25,rebalance=ME)",allocation,2.889,0.73,0.89,0.211,0.2616,-0.641,0.33,1.0,5.05,0.17,0.62,0.0,False,0.7065131720709306,False,rejected,B,"unrecognized family 'allocation' — tier metadata missing, cannot verify Tier A data dependencies"
BuyAndHold(ticker=HPE),benchmark,2.871,0.27,1.14,0.0568,0.6266,-0.569,0.1,0.974,0.04,1.0,0.88,0.0,False,0.2738710036595988,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"EqualRiskContribution(basket=ai_broad,cov_window=126,max_weight=0.25,rebalance=ME)",allocation,2.853,0.79,0.84,0.1877,0.2091,-0.572,0.33,1.0,5.98,0.11,0.62,0.0,False,0.7616500154698359,False,rejected,B,"unrecognized family 'allocation' — tier metadata missing, cannot verify Tier A data dependencies"
"SemisLeadership(fallback=IEF,lookback_days=126)",regime,2.848,0.55,0.79,0.1169,0.2911,-0.348,0.34,1.0,4.68,0.61,0.75,0.0,False,0.5242271133346277,False,rejected,B,"macro inputs are revised series, not real-time vintages"
"TrendPlusVolTarget(basket=megacap_ai,fallback=IEF,hysteresis=0.0,min_exposure=0.2,rebalance=W-FRI,target_vol=0.2,trend_window=200,vol_window=63)",riskmanaged,2.839,1.18,0.76,0.2327,0.1811,-0.293,0.79,1.0,6.08,0.2,0.88,0.42,False,1.1343268731828666,False,rejected,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=APP),benchmark,2.834,0.13,1.36,0.0225,1.3015,-0.919,0.02,0.867,0.04,1.0,0.88,0.0,False,0.1297768733730899,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"DrawdownDeRisk(basket=megacap_ai,dd_full=-0.3,dd_start=-0.15,fallback=IEF,rebalance=W-FRI)",riskmanaged,2.8,0.98,0.8,0.2651,0.2338,-0.559,0.47,1.0,4.9,0.2,0.62,0.18,False,0.9577809634112323,False,rejected,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=NVDA),benchmark,2.794,0.76,0.85,0.3456,0.3926,-0.897,0.39,1.0,0.04,1.0,0.75,0.0,False,0.7620790536623332,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=CIBR),benchmark,2.787,0.32,0.99,0.0564,0.2978,-0.339,0.17,0.992,0.04,1.0,0.88,0.0,False,0.32073815391593025,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=SOXX),benchmark,2.781,0.41,1.09,0.1026,0.5225,-0.702,0.15,0.993,0.04,1.0,0.62,0.0,False,0.4060182910891043,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=SMH),benchmark,2.763,0.33,1.18,0.0773,0.5409,-0.85,0.09,0.978,0.04,1.0,0.62,0.0,False,0.3276372078760512,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"TrendPlusVolTarget(basket=megacap_ai,fallback=IEF,hysteresis=0.0,min_exposure=0.2,rebalance=W-FRI,target_vol=0.15,trend_window=200,vol_window=63)",riskmanaged,2.747,1.19,0.73,0.1911,0.1472,-0.267,0.72,1.0,5.44,0.19,0.88,0.46,False,1.1443486899848647,False,rejected,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"SemisLeadership(fallback=IEF,lookback_days=63)",regime,2.691,0.5,0.84,0.1025,0.3062,-0.367,0.28,0.999,6.85,0.64,0.75,0.0,False,0.4576335084423568,False,rejected,B,"macro inputs are revised series, not real-time vintages"
BuyAndHold(ticker=VST),benchmark,2.67,0.41,0.88,0.0845,0.4747,-0.533,0.16,0.995,0.05,1.0,1.0,0.0,False,0.4121224518950675,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"DrawdownDeRisk(basket=megacap_ai,dd_full=-0.3,dd_start=-0.1,fallback=IEF,rebalance=W-FRI)",riskmanaged,2.667,1.01,0.76,0.2616,0.2111,-0.512,0.51,1.0,5.34,0.2,0.62,0.26,False,0.987435347004616,False,rejected,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=VGT),benchmark,2.663,0.53,0.93,0.1118,0.2907,-0.547,0.2,0.999,0.04,1.0,0.75,0.0,False,0.5339164246685034,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"ThemeRotation(lookback_days=126,rebalance=ME,top_themes=3)",factor,2.655,0.6,0.98,0.1765,0.4138,-0.796,0.22,1.0,9.93,0.09,0.62,0.0,False,0.5701828274966947,False,rejected,B,"unrecognized family 'factor' — tier metadata missing, cannot verify Tier A data dependencies"
"BreadthGatedBasket(basket=ai_broad,breadth_window=200,fallback=IEF,min_exposure=0.0,rebalance=W-FRI,smooth_days=21,threshold=0.5)",factor,2.634,0.87,0.65,0.2025,0.1843,-0.352,0.57,1.0,3.93,0.07,0.88,0.23,False,0.8515156793082725,False,rejected,B,"unrecognized family 'factor' — tier metadata missing, cannot verify Tier A data dependencies"
BuyAndHold(ticker=MRVL),benchmark,2.623,0.35,1.05,0.068,0.7335,-0.916,0.07,0.977,0.04,1.0,0.75,0.0,False,0.34687055605235184,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"BreadthGatedBasket(basket=megacap_ai,breadth_window=200,fallback=IEF,min_exposure=0.0,rebalance=W-FRI,smooth_days=21,threshold=0.5)",factor,2.622,1.08,0.62,0.2912,0.1686,-0.356,0.82,1.0,4.95,0.22,0.88,0.46,False,1.0596076407883077,False,rejected,B,"unrecognized family 'factor' — tier metadata missing, cannot verify Tier A data dependencies"
"TrendFollowCash(basket=megacap_ai,fallback=BIL,rebalance=W-FRI,sma_window=200)",tsmom,2.608,1.16,0.57,0.285,0.1457,-0.294,0.97,1.0,6.69,0.26,0.75,0.59,False,1.1214019919684406,False,rejected,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"TrendPlusVolTarget(basket=megacap_ai,fallback=IEF,hysteresis=0.0,min_exposure=0.2,rebalance=W-FRI,target_vol=0.2,trend_window=150,vol_window=63)",riskmanaged,2.596,1.17,0.7,0.2287,0.1655,-0.3,0.76,1.0,6.51,0.2,0.88,0.47,False,1.1204237997756248,False,rejected,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"TrendPlusVolTarget(basket=megacap_ai,fallback=IEF,hysteresis=0.0,min_exposure=0.2,rebalance=W-FRI,target_vol=0.15,trend_window=150,vol_window=63)",riskmanaged,2.514,1.18,0.66,0.1882,0.135,-0.273,0.69,1.0,5.75,0.19,0.88,0.52,False,1.131087596401441,False,rejected,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"MinCorrelationSleeve(basket=None,corr_window=252,rebalance=QE,top_n=10)",allocation,2.484,1.05,0.58,0.3354,0.1912,-0.649,0.52,1.0,5.63,0.08,0.88,0.47,False,1.025589542374396,False,rejected,B,"unrecognized family 'allocation' — tier metadata missing, cannot verify Tier A data dependencies"
"QualityGrowth(rebalance=QE,top_n=5,w_accel=0.3,w_growth=0.4,w_margin=0.3)",fundamental,2.462,0.24,0.86,0.0401,0.2393,-0.464,0.09,0.988,0.54,0.63,0.88,0.0,False,0.2346423617317945,False,rejected,B,fundamental data quality not yet independently audited
"QualityGrowth(rebalance=QE,top_n=8,w_accel=0.3,w_growth=0.4,w_margin=0.3)",fundamental,2.462,0.24,0.86,0.0401,0.2393,-0.464,0.09,0.988,0.54,0.63,0.88,0.0,False,0.2346423617317945,False,rejected,B,fundamental data quality not yet independently audited
BuyAndHold(ticker=ASML),benchmark,2.459,0.58,0.86,0.2035,0.3909,-0.9,0.23,0.999,0.04,1.0,0.62,0.0,False,0.5828580086346606,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"TrendPlusVolTarget(basket=megacap_ai,fallback=IEF,hysteresis=0.02,min_exposure=0.2,rebalance=W-FRI,target_vol=0.2,trend_window=200,vol_window=63)",riskmanaged,2.453,1.16,0.62,0.2304,0.1521,-0.293,0.79,1.0,5.16,0.2,0.88,0.55,False,1.1280740693241231,False,rejected,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"LowVolatilityTech(basket=None,rebalance=ME,top_n=20,trend_filter=False,vol_window=126)",factor,2.448,0.65,0.75,0.1711,0.1979,-0.713,0.24,1.0,3.85,0.06,0.62,0.0,False,0.6307237428545907,False,rejected,B,"unrecognized family 'factor' — tier metadata missing, cannot verify Tier A data dependencies"
BuyAndHold(ticker=DDOG),benchmark,2.435,0.27,0.96,0.0593,0.5291,-0.681,0.09,0.966,0.04,1.0,0.88,0.0,False,0.27045735555017747,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"TrendPlusVolTarget(basket=megacap_ai,fallback=IEF,hysteresis=0.02,min_exposure=0.2,rebalance=W-FRI,target_vol=0.15,trend_window=200,vol_window=63)",riskmanaged,2.379,1.17,0.59,0.1892,0.1267,-0.267,0.71,1.0,4.75,0.19,0.88,0.58,False,1.1362745254409454,False,rejected,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=SPY),benchmark,2.372,0.41,0.85,0.0855,0.1879,-0.552,0.15,0.996,0.04,1.0,0.62,0.0,False,0.4122330093052374,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"LowVolatilityTech(basket=None,rebalance=ME,top_n=10,trend_filter=False,vol_window=126)",factor,2.358,0.66,0.71,0.1631,0.1787,-0.58,0.28,1.0,5.39,0.06,0.62,0.0,False,0.6388598536540334,False,rejected,B,"unrecognized family 'factor' — tier metadata missing, cannot verify Tier A data dependencies"
BuyAndHold(ticker=XLK),benchmark,2.345,0.37,0.94,0.0857,0.3005,-0.821,0.1,0.99,0.04,1.0,0.62,0.0,False,0.3694875107043584,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"DualMomentum(fallback=IEF,lookback_days=252)",tsmom,2.333,0.34,0.79,0.0755,0.3097,-0.459,0.16,0.986,5.58,0.58,0.62,0.0,False,0.3120136855790643,False,rejected,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"ValuationAwareGrowth(history_days=756,max_ps_own_pct=1.0,rebalance=QE,top_n=8)",fundamental,2.316,0.24,0.75,0.0404,0.2187,-0.464,0.09,0.987,0.66,0.65,0.88,0.0,False,0.2340936050302205,False,rejected,B,fundamental data quality not yet independently audited
BuyAndHold(ticker=SHOP),benchmark,2.316,0.49,0.8,0.1413,0.4071,-0.848,0.17,0.998,0.04,1.0,0.88,0.0,False,0.4942656465927476,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=AMZN),benchmark,2.31,0.69,0.63,0.2825,0.2227,-0.944,0.3,1.0,0.04,1.0,0.88,0.06,False,0.6858855918500636,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=MPWR),benchmark,2.307,0.6,0.75,0.1954,0.361,-0.723,0.27,1.0,0.04,1.0,0.75,0.0,False,0.5952840848340517,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=INTC),benchmark,2.303,0.24,1.06,0.0408,0.7368,-0.823,0.05,0.936,0.04,1.0,0.5,0.0,False,0.24197469478056854,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=ADI),benchmark,2.3,0.45,0.76,0.1301,0.299,-0.829,0.16,0.995,0.04,1.0,0.75,0.0,False,0.4504599686986235,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=CEG),benchmark,2.297,0.4,0.61,0.0641,0.2557,-0.269,0.24,0.999,0.04,1.0,1.0,0.0,False,0.40078965924835275,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=SKYY),benchmark,2.233,0.39,0.73,0.0755,0.2402,-0.532,0.14,0.996,0.04,1.0,0.88,0.0,False,0.39228083517817364,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=QQQ),benchmark,2.208,0.39,0.86,0.0942,0.2328,-0.83,0.11,0.992,0.04,1.0,0.62,0.0,False,0.39366560127983147,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=ARM),benchmark,2.152,0.22,0.71,0.0448,0.343,-0.415,0.11,0.98,0.04,1.0,1.0,0.0,False,0.2163176267607541,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"TrendPlusVolTarget(basket=megacap_ai,fallback=IEF,hysteresis=0.02,min_exposure=0.2,rebalance=W-FRI,target_vol=0.2,trend_window=150,vol_window=63)",riskmanaged,2.127,1.17,0.53,0.2308,0.1298,-0.306,0.75,1.0,5.69,0.2,0.88,0.64,False,1.1320581813003545,False,rejected,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=AAPL),benchmark,2.093,0.85,0.61,0.3247,0.1934,-0.818,0.4,1.0,0.04,1.0,0.62,0.24,False,0.8505167443569882,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"TrendPlusVolTarget(basket=megacap_ai,fallback=IEF,hysteresis=0.02,min_exposure=0.2,rebalance=W-FRI,target_vol=0.15,trend_window=150,vol_window=63)",riskmanaged,2.088,1.18,0.51,0.1893,0.1108,-0.277,0.68,1.0,5.15,0.19,0.88,0.67,False,1.1385971489228808,False,rejected,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=NRG),benchmark,2.069,0.38,0.8,0.0957,0.3738,-0.794,0.12,0.989,0.04,1.0,0.75,0.0,False,0.3784324332428116,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"BreadthGatedBasket(basket=megacap_ai,breadth_window=200,fallback=IEF,min_exposure=0.0,rebalance=W-FRI,smooth_days=21,threshold=0.4)",factor,1.958,1.0,0.54,0.2775,0.1508,-0.437,0.63,1.0,4.95,0.2,0.62,0.46,False,0.9798029621550303,False,rejected,B,"unrecognized family 'factor' — tier metadata missing, cannot verify Tier A data dependencies"
BuyAndHold(ticker=TSLA),benchmark,1.873,0.63,0.51,0.2185,0.1825,-0.736,0.3,1.0,0.04,1.0,0.88,0.13,False,0.6332643657509595,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"VolCompressionBreakout(entry_window=40,exit_window=20,max_positions=6,squeeze_pct=0.2)",breakout,1.842,0.16,0.99,0.0259,0.4676,-0.864,0.03,0.883,124.68,0.14,0.62,0.0,False,-0.31344615318834934,False,rejected,B,cross-sectional selection over a universe missing delisted names (current-constituent bias)
"QQQMovingAverage(fallback=IEF,window=200)",benchmark,1.806,0.4,0.76,0.0777,0.1756,-0.439,0.18,0.995,12.79,0.93,0.75,0.0,False,0.31573503739719155,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=IWM),benchmark,1.789,0.35,0.58,0.0781,0.1565,-0.591,0.13,0.988,0.04,1.0,0.62,0.0,False,0.3529491506069006,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=TXN),benchmark,1.734,0.46,0.56,0.1306,0.2082,-0.858,0.15,0.996,0.04,1.0,0.62,0.0,False,0.4562111750913712,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"DonchianBreakout(entry_window=100,exit_window=20,max_positions=6,regime_filter=True)",breakout,1.701,-0.04,1.18,-0.0181,0.5362,-0.817,-0.02,0.586,159.24,0.13,0.62,0.0,False,-0.7308290950262621,False,rejected,B,cross-sectional selection over a universe missing delisted names (current-constituent bias)
BuyAndHold(ticker=SNOW),benchmark,1.698,0.01,0.89,-0.0049,0.5094,-0.718,-0.01,0.693,0.04,1.0,0.88,0.0,False,0.010833558867790555,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=IBM),benchmark,1.64,0.33,0.37,0.0766,0.1125,-0.594,0.13,0.982,0.04,1.0,0.88,0.0,False,0.3323304806448051,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=ARKK),benchmark,1.582,0.23,0.66,0.0493,0.259,-0.81,0.06,0.953,0.04,1.0,0.75,0.0,False,0.23471279718011337,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=OKTA),benchmark,1.501,0.3,0.58,0.0687,0.2368,-0.846,0.08,0.974,0.04,1.0,0.75,0.0,False,0.3045406775594205,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=TWTR),benchmark,1.466,0.17,0.62,0.0241,0.0434,-0.809,0.03,0.886,0.07,1.0,0.88,0.0,False,0.16807388006075985,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"ValuationAwareGrowth(history_days=756,max_ps_own_pct=0.85,rebalance=QE,top_n=8)",fundamental,1.393,0.06,0.43,0.0207,0.1345,-0.67,0.03,0.875,0.7,0.52,0.88,0.0,False,0.05659572873041232,False,rejected,B,fundamental data quality not yet independently audited
BuyAndHold(ticker=CDNS),benchmark,1.362,0.38,0.46,0.091,0.1592,-0.931,0.1,0.984,0.04,1.0,0.62,0.0,False,0.3753490802092632,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=NFLX),benchmark,1.297,0.69,0.25,0.2741,0.0733,-0.82,0.33,1.0,0.04,1.0,0.88,0.44,False,0.6926190309152289,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=META),benchmark,1.246,0.47,0.33,0.1167,0.1,-0.767,0.15,0.997,0.04,1.0,0.88,0.14,False,0.46584361414463304,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"VolCompressionBreakout(entry_window=40,exit_window=20,max_positions=6,squeeze_pct=0.3)",breakout,1.167,0.08,0.76,0.0018,0.2951,-0.872,0.0,0.781,145.23,0.17,0.62,0.0,False,-0.4478778028290604,False,rejected,B,cross-sectional selection over a universe missing delisted names (current-constituent bias)
BuyAndHold(ticker=BOTZ),benchmark,1.138,0.23,0.3,0.0435,0.0915,-0.555,0.08,0.973,0.04,1.0,0.88,0.0,False,0.22766105183933236,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=IGV),benchmark,0.882,0.39,0.21,0.0907,0.0647,-0.631,0.14,0.993,0.04,1.0,0.62,0.18,False,0.39249655250371923,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=MSFT),benchmark,0.796,0.54,0.18,0.1507,0.0565,-0.695,0.22,0.999,0.04,1.0,0.62,0.36,False,0.5413606971366407,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=ORCL),benchmark,0.743,0.5,0.17,0.1524,-0.0107,-0.842,0.18,0.998,0.04,1.0,0.62,0.33,False,0.5012019232975478,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=NXPI),benchmark,0.64,0.5,0.09,0.1351,-0.0284,-0.6,0.23,0.998,0.04,1.0,0.88,0.41,False,0.4985925772988652,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=JNPR),benchmark,0.553,0.3,0.19,0.0442,0.0594,-0.982,0.05,0.961,0.07,1.0,0.62,0.11,False,0.2976004087016578,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=UBER),benchmark,0.547,0.18,0.22,0.0353,0.0561,-0.681,0.05,0.916,0.04,1.0,0.62,0.0,False,0.17564100434122018,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=SMCI),benchmark,0.536,0.57,0.06,0.1913,-0.3473,-0.717,0.27,0.999,0.04,1.0,0.88,0.5,False,0.5658036872040553,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=CTXS),benchmark,0.486,0.39,0.2,0.0971,0.0434,-0.958,0.1,0.987,0.07,1.0,0.62,0.19,False,0.392910551798664,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=QCOM),benchmark,0.472,0.54,0.05,0.1788,-0.0394,-0.868,0.21,0.999,0.04,1.0,0.75,0.49,False,0.5417081858205088,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=ZS),benchmark,0.389,0.35,0.05,0.0838,-0.0752,-0.764,0.11,0.986,0.04,1.0,0.88,0.3,False,0.3488709865833375,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=YHOO),benchmark,0.312,0.41,0.1,0.1076,0.0434,-0.966,0.11,0.991,0.07,1.0,0.75,0.3,False,0.4055339330336176,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
